day,demand_modifier,event_label,lead_time_modifier,mfg_daily_capacity,mfg_finished_P3D-Classic,mfg_finished_P3D-Mini,mfg_finished_P3D-Pro,mfg_finished_total,mfg_orders_shipped_today,mfg_part_CTRL-V2,mfg_part_CTRL-V3,mfg_part_cables_conexion,mfg_part_enchufe_schuko,mfg_part_extrusor,mfg_part_kit_piezas,mfg_part_pcb,mfg_part_sensor_autonivel,mfg_part_transformador_24v,mfg_parts_total,mfg_po_open,mfg_price_P3D-Classic,mfg_price_P3D-Mini,mfg_price_P3D-Pro,mfg_so_completed,mfg_so_delivered,mfg_so_in_progress,mfg_so_pending,mfg_so_released,mfg_so_shipped,mfg_utilisation_pct,orders_backordered_today,orders_backordered_total,orders_fulfilled_today,orders_placed_today,prov_orders_delivered,prov_orders_delivered_today,prov_orders_in_transit,prov_orders_pending,prov_price_CTRL-V2,prov_price_CTRL-V2_t1,prov_price_CTRL-V2_t20,prov_price_CTRL-V3,prov_price_CTRL-V3_t1,prov_price_CTRL-V3_t20,prov_price_cables_conexion,prov_price_cables_conexion_t1,prov_price_cables_conexion_t100,prov_price_enchufe_schuko,prov_price_enchufe_schuko_t1,prov_price_enchufe_schuko_t100,prov_price_extrusor,prov_price_extrusor_t1,prov_price_extrusor_t10,prov_price_kit_piezas,prov_price_kit_piezas_t1,prov_price_kit_piezas_t10,prov_price_pcb,prov_price_pcb_t1,prov_price_pcb_t20,prov_price_pcb_t200,prov_price_sensor_autonivel,prov_price_sensor_autonivel_t1,prov_price_sensor_autonivel_t20,prov_price_transformador_24v,prov_price_transformador_24v_t1,prov_price_transformador_24v_t50,prov_stock_CTRL-V2,prov_stock_CTRL-V3,prov_stock_cables_conexion,prov_stock_enchufe_schuko,prov_stock_extrusor,prov_stock_kit_piezas,prov_stock_pcb,prov_stock_sensor_autonivel,prov_stock_transformador_24v,prov_total_stock,ret_po_open,ret_price_P3D-Classic,ret_price_P3D-Mini,ret_price_P3D-Pro,ret_stock_P3D-Classic,ret_stock_P3D-Mini,ret_stock_P3D-Pro,ret_total_stock,scenario,supply_modifier
1,1.0,Pre-holiday normal,1.0,16,5,8,3,16,0,20,15,100,20,20,20,20,10,20,245,0,370.0,215.0,560.0,0,0,0,3,0,0,0.0,0,0,14,14,0,0,0,0,39.0,45.0,39.0,48.0,55.0,48.0,5.5,8.0,5.5,3.5,5.0,3.5,50.0,60.0,50.0,135.0,150.0,135.0,25.0,40.0,32.0,25.0,29.0,35.0,29.0,18.0,22.0,18.0,180,150,1200,600,200,120,500,90,250,3290,3,479.99,279.99,729.99,0,2,0,2,holiday-rush,1.0
2,1.0,Pre-holiday normal,1.0,16,5,8,3,16,0,9,15,78,9,9,9,9,10,9,157,6,370.0,215.0,560.0,0,0,1,1,2,0,68.8,11,11,2,13,0,0,6,0,39.0,45.0,39.0,48.0,55.0,48.0,5.5,8.0,5.5,3.5,5.0,3.5,50.0,60.0,50.0,135.0,150.0,135.0,25.0,40.0,32.0,25.0,29.0,35.0,29.0,18.0,22.0,18.0,179,150,1200,590,191,110,490,90,240,3240,4,479.99,279.99,729.99,0,0,0,0,holiday-rush,1.0
3,1.0,Pre-holiday normal,1.0,16,5,8,3,16,0,9,15,78,9,9,9,9,10,9,157,6,370.0,215.0,560.0,0,0,1,4,2,0,68.8,14,25,0,14,0,0,6,0,39.0,45.0,39.0,48.0,55.0,48.0,5.5,8.0,5.5,3.5,5.0,3.5,50.0,60.0,50.0,135.0,150.0,135.0,25.0,40.0,32.0,25.0,29.0,35.0,29.0,18.0,22.0,18.0,179,150,1200,590,191,110,490,90,240,3240,7,479.99,279.99,729.99,0,0,0,0,holiday-rush,1.0
4,1.0,Pre-holiday normal,1.0,16,2,3,2,7,4,5,15,74,15,9,5,5,10,5,143,11,370.0,215.0,560.0,0,0,1,3,2,4,25.0,11,36,0,11,1,1,11,0,39.0,45.0,39.0,48.0,55.0,48.0,5.5,8.0,5.5,3.5,5.0,3.5,50.0,60.0,50.0,135.0,150.0,135.0,25.0,40.0,32.0,25.0,29.0,35.0,29.0,18.0,22.0,18.0,164,150,1200,575,180,95,475,90,225,3154,10,479.99,279.99,729.99,0,0,0,0,holiday-rush,1.0
5,1.0,Pre-holiday normal,1.0,16,2,3,1,6,2,1,15,64,10,4,0,10,10,10,124,18,370.0,215.0,560.0,0,4,1,3,3,2,31.2,12,29,20,13,4,3,18,0,39.0,45.0,39.0,48.0,55.0,48.0,5.5,8.0,5.5,3.5,5.0,3.5,50.0,60.0,50.0,135.0,150.0,135.0,25.0,40.0,32.0,25.0,29.0,35.0,29.0,18.0,22.0,18.0,158,150,1200,569,180,89,469,90,219,3124,9,479.99,279.99,729.99,0,0,0,0,holiday-rush,1.0
6,1.0,Pre-holiday normal,1.0,16,2,3,0,5,1,1,15,64,25,4,10,10,10,10,149,23,370.0,215.0,560.0,0,6,1,3,5,1,31.2,12,36,5,12,6,2,23,0,39.0,45.0,39.0,48.0,55.0,48.0,5.5,8.0,5.5,3.5,5.0,3.5,50.0,60.0,50.0,135.0,150.0,135.0,25.0,40.0,32.0,25.0,29.0,35.0,29.0,18.0,22.0,18.0,148,150,1193,559,174,79,459,90,209,3061,10,479.99,279.99,729.99,0,0,0,0,holiday-rush,1.0
7,1.0,Pre-holiday normal,1.0,16,2,3,0,5,1,16,15,64,31,13,10,25,10,25,209,17,370.0,215.0,560.0,0,7,0,5,5,1,0.0,12,47,1,12,12,6,17,0,39.0,45.0,39.0,48.0,55.0,48.0,5.5,8.0,5.5,3.5,5.0,3.5,50.0,60.0,50.0,135.0,150.0,135.0,25.0,40.0,32.0,25.0,29.0,35.0,29.0,18.0,22.0,18.0,148,150,1193,559,174,79,459,90,209,3061,11,479.99,279.99,729.99,0,0,0,0,holiday-rush,1.0
8,3.0,Black Friday,1.0,16,2,3,0,5,0,12,15,61,31,13,15,21,10,21,199,15,370.0,215.0,560.0,0,8,1,3,9,0,62.5,39,81,5,39,21,9,15,0,39.0,45.0,39.0,48.0,55.0,48.0,5.5,8.0,5.5,3.5,5.0,3.5,50.0,60.0,50.0,135.0,150.0,135.0,25.0,40.0,32.0,25.0,29.0,35.0,29.0,18.0,22.0,18.0,130,150,1169,540,169,60,440,90,190,2938,13,479.99,279.99,729.99,0,0,0,0,holiday-rush,1.0
9,3.0,Black Friday,1.0,16,2,3,0,5,1,10,14,39,18,15,8,18,9,18,149,18,370.0,215.0,560.0,0,8,3,3,9,1,81.2,40,121,0,40,27,6,18,0,39.0,45.0,39.0,48.0,55.0,48.0,5.5,8.0,5.5,3.5,5.0,3.5,50.0,60.0,50.0,135.0,150.0,135.0,25.0,40.0,32.0,25.0,29.0,35.0,29.0,18.0,22.0,18.0,89,147,1092,491,141,11,391,82,141,2585,16,479.99,279.99,729.99,0,0,0,0,holiday-rush,1.0
10,3.0,Black Friday,1.0,16,2,3,0,5,1,2,14,52,29,12,10,10,9,10,148,24,370.0,215.0,560.0,0,9,4,3,10,1,100.0,35,146,10,35,30,3,24,0,39.0,45.0,39.0,48.0,55.0,48.0,5.5,8.0,5.5,3.5,5.0,3.5,50.0,60.0,50.0,135.0,150.0,135.0,25.0,40.0,32.0,25.0,29.0,35.0,29.0,18.0,22.0,18.0,146,138,1010,448,102,77,348,73,98,2440,18,479.99,279.99,729.99,0,0,0,0,holiday-rush,1.0
